date,pm25,no2
2015-11-10,44,25
2015-11-11,51,8
2015-11-12,41,13
2015-11-13,41,9
2015-11-14,24,8
2015-11-15,37,13
2015-11-16,33,18
2015-11-17,37,16
2015-11-18,27,22
2015-11-19,39,15
2015-11-20,18,14
2015-11-21,33,15
2015-11-22,34,22
2015-11-23,59,14
2015-11-24,28,25
2015-11-25,42,29
2015-11-26,55,14
2015-11-27,31,10
2015-11-28,22,12
2015-11-29,23,11
2015-11-30,39,16
2015-12-01,29,26
2015-12-02,31,20
2015-12-03,54,16
2015-12-04,26,15
2015-12-05,32,18
2015-12-06,46,17
2015-12-07,56,24
2015-12-08,69,13
2015-12-09,33,17
2015-12-10,44,23
2015-12-11,49,22
2015-12-12,65,19
2015-12-13,45,12
2015-12-14,29,17
2015-12-15,40,11
2015-12-16,23,12
2015-12-17,26,18
2015-12-18,25,16
2015-12-19,29,10
2015-12-20,27,13
2015-12-21,31,18
2015-12-22,42,18
2015-12-23,32,20
2015-12-24,37,15
2015-12-25,23,15
2015-12-26,26,9
2015-12-27,28,11
2015-12-28,29,11
2015-12-29,23,12
2015-12-30,27,27
2015-12-31,56,23
2016-01-01,57,
2016-01-03,,20
2016-01-04,53,18
2016-01-05,42,20
2016-01-06,42,29
2016-01-07,47,35
2016-01-08,63,24
2016-01-09,54,18
2016-01-10,53,11
2016-01-11,27,12
2016-01-12,25,21
2016-01-13,39,14
2016-01-14,34,21
2016-01-15,45,20
2016-01-16,57,18
2016-01-17,43,14
2016-01-18,37,15
2016-01-19,36,13
2016-01-20,37,15
2016-01-21,37,17
2016-01-22,36,19
2016-01-23,41,13
2016-01-24,32,17
2016-01-25,45,26
2016-01-26,48,24
2016-01-27,55,17
2016-01-28,41,25
2016-01-29,38,26
2016-01-30,61,11
2016-01-31,36,11
2016-02-01,44,16
2016-02-02,49,22
2016-02-03,32,18
2016-02-04,36,14
2016-02-05,27,15
2016-02-06,36,20
2016-02-07,44,18
2016-02-08,58,10
2016-02-09,32,27
2016-02-10,44,31
2016-02-11,65,16
2016-02-12,39,19
2016-02-13,36,15
2016-02-14,52,8
2016-02-15,50,23
2016-02-16,53,21
2016-02-17,43,14
2016-02-18,36,14
2016-02-19,40,21
2016-02-20,42,12
2016-02-21,36,9
2016-02-22,31,13
2016-02-23,24,21
2016-02-24,33,18
2016-02-25,24,8
2016-02-26,23,11
2016-02-27,24,12
2016-02-28,33,10
2016-02-29,45,14
2016-03-01,49,13
2016-03-02,27,11
2016-03-03,36,15
2016-03-04,31,19
2016-03-05,42,10
2016-03-06,36,15
2016-03-07,43,24
2016-03-08,64,19
2016-03-09,63,17
2016-03-10,63,26
2016-03-11,64,14
2016-03-12,26,13
2016-03-13,30,11
2016-03-14,35,7
2016-03-15,30,10
2016-03-16,22,12
2016-03-17,20,13
2016-03-18,25,13
2016-03-19,25,11
2016-03-20,49,6
2016-03-21,30,16
2016-03-22,41,15
2016-03-23,38,16
2016-03-24,47,11
2016-03-25,34,22
2016-03-26,44,10
2016-03-27,32,16
2016-03-28,24,8
2016-03-29,27,17
2016-03-30,38,10
2016-03-31,35,8
2016-04-01,29,13
2016-04-02,29,10
2016-04-03,27,18
2016-04-04,34,14
2016-04-05,47,23
2016-04-06,47,11
2016-04-07,29,13
2016-04-08,37,13
2016-04-09,37,9
2016-04-10,31,13
2016-04-11,40,14
2016-04-12,43,12
2016-04-13,27,17
2016-04-14,33,18
2016-04-15,36,8
2016-04-16,26,10
2016-04-17,38,16
2016-04-18,36,14
2016-04-19,45,8
2016-04-20,25,16
2016-04-21,42,26
2016-04-22,65,13
2016-04-23,50,10
2016-04-24,27,25
2016-04-25,39,13
2016-04-26,34,22
2016-04-27,47,15
2016-04-28,27,8
2016-04-29,25,10
2016-04-30,26,12
2016-05-01,29,15
2016-05-02,30,16
2016-05-03,21,10
2016-05-04,21,9
2016-05-05,14,7
2016-05-06,20,8
2016-05-07,16,9
2016-05-08,30,14
2016-05-09,28,19
2016-05-10,38,24
2016-05-11,44,16
2016-05-12,34,
2016-05-13,43,
2016-05-14,26,5
2016-05-15,23,13
2016-05-16,36,18
2016-05-17,33,12
2016-05-18,34,18
2016-05-19,34,17
2016-05-20,40,19
2016-05-21,45,7
2016-05-22,19,20
2016-05-23,36,9
2016-05-24,24,15
2016-05-25,36,27
2016-05-26,58,21
2016-05-27,75,9
2016-05-28,63,5
2016-05-29,62,6
2016-05-30,27,15
2016-05-31,32,8
2016-06-01,30,5
2016-06-02,33,9
2016-06-03,40,13
2016-06-04,43,8
2016-06-05,37,13
2016-06-06,34,18
2016-06-07,50,9
2016-06-08,23,8
2016-06-09,21,11
2016-06-10,33,12
2016-06-11,43,6
2016-06-12,41,7
2016-06-13,23,14
2016-06-14,26,16
2016-06-15,39,23
2016-06-16,48,9
2016-06-17,39,8
2016-06-18,39,7
2016-06-19,43,12
2016-06-20,38,14
2016-06-21,39,18
2016-06-22,44,15
2016-06-23,45,13
2016-06-24,41,12
2016-06-25,41,9
2016-06-26,48,9
2016-06-27,39,11
2016-06-28,25,12
2016-06-29,30,12
2016-06-30,37,13
2016-07-01,38,7
2016-07-02,27,6
2016-07-03,35,6
2016-07-04,49,14
2016-07-05,36,17
2016-07-06,57,10
2016-07-07,52,6
2016-07-08,36,3
2016-07-09,22,6
2016-07-10,20,12
2016-07-11,40,14
2016-07-12,44,12
2016-07-13,44,8
2016-07-14,28,11
2016-07-15,43,11
2016-07-16,31,14
2016-07-17,51,20
2016-07-18,56,12
2016-07-19,41,13
2016-07-20,47,17
2016-07-21,52,13
2016-07-22,57,9
2016-07-23,46,10
2016-07-24,24,19
2016-07-25,51,12
2016-07-26,32,12
2016-07-27,35,17
2016-07-28,42,14
2016-07-29,48,9
2016-07-30,37,6
2016-07-31,39,6
2016-08-01,29,9
2016-08-02,35,6
2016-08-03,38,12
2016-08-04,35,12
2016-08-05,35,10
2016-08-06,36,13
2016-08-07,45,12
2016-08-08,27,11
2016-08-09,35,12
2016-08-10,34,13
2016-08-11,41,12
2016-08-12,19,6
2016-08-13,40,7
2016-08-14,27,11
2016-08-15,28,15
2016-08-16,37,10
2016-08-17,29,17
2016-08-18,33,14
2016-08-19,37,8
2016-08-20,33,5
2016-08-21,27,9
2016-08-22,29,14
2016-08-23,34,17
2016-08-24,40,15
2016-08-25,43,10
2016-08-26,40,11
2016-08-27,37,6
2016-08-28,27,11
2016-08-29,29,14
2016-08-30,36,14
2016-08-31,37,18
2016-09-01,32,9
2016-09-02,32,10
2016-09-03,32,6
2016-09-04,25,3
2016-09-05,25,10
2016-09-06,24,13
2016-09-07,29,12
2016-09-08,22,16
2016-09-09,33,12
2016-09-10,40,5
2016-09-11,31,14
2016-09-12,28,13
2016-09-13,25,14
2016-09-14,34,9
2016-09-15,18,13
2016-09-16,31,10
2016-09-17,27,5
2016-09-18,20,13
2016-09-19,13,16
2016-09-20,24,19
2016-09-21,38,20
2016-09-22,28,19
2016-09-23,28,6
2016-09-24,39,7
2016-09-25,32,15
2016-09-26,25,20
2016-09-27,27,9
2016-09-28,25,8
2016-09-29,25,7
2016-09-30,23,8
2016-10-01,15,9
2016-10-02,23,11
2016-10-03,30,8
2016-10-04,27,14
2016-10-05,32,26
2016-10-06,49,28
2016-10-07,49,19
2016-10-08,43,10
2016-10-09,18,10
2016-10-10,33,21
2016-10-11,38,20
2016-10-12,38,19
2016-10-13,39,14
2016-10-14,36,14
2016-10-15,38,12
2016-10-16,39,21
2016-10-17,41,18
2016-10-18,60,18
2016-10-19,43,11
2016-10-20,35,15
2016-10-21,27,9
2016-10-22,16,3
2016-10-23,19,12
2016-10-24,35,13
2016-10-25,35,14
2016-10-26,44,19
2016-10-27,39,11
2016-10-28,32,14
2016-10-29,35,10
2016-10-31,44,10
2016-11-01,34,20
2016-11-02,46,25
2016-11-03,50,20
2016-11-04,58,13
2016-11-05,40,15
2016-11-06,42,12
2016-11-07,38,16
2016-11-08,38,32
2016-11-09,61,33
2016-11-10,61,28
2016-11-11,41,24
2016-11-12,49,23
2016-11-13,33,26
2016-11-14,36,44
2016-11-15,53,29
2016-11-16,52,23
2016-11-17,36,16
2016-11-18,46,23
2016-11-19,53,11
2016-11-20,35,5
2016-11-21,24,13
2016-11-22,33,13
2016-11-23,39,13
2016-11-24,42,20
2016-11-25,50,19
2016-11-26,60,12
2016-11-27,59,7
2016-11-28,39,23
2016-11-29,49,25
2016-11-30,50,17
2016-12-01,34,14
2016-12-02,31,15
2016-12-03,34,8
2016-12-04,28,13
2016-12-05,38,35
2016-12-06,54,22
2016-12-07,47,23
2016-12-08,58,19
2016-12-09,63,13
2016-12-10,39,13
2016-12-11,49,23
2016-12-12,58,23
2016-12-13,49,19
2016-12-14,48,23
2016-12-15,68,15
2016-12-16,45,20
2016-12-17,55,28
2016-12-18,68,9
2016-12-19,52,20
2016-12-20,46,28
2016-12-21,59,27
2016-12-22,65,30
2016-12-23,80,20
2016-12-24,52,17
2016-12-25,58,13
2016-12-26,40,16
2016-12-27,44,10
2016-12-28,42,17
2016-12-29,43,22
2016-12-30,48,10
2016-12-31,39,11
2017-01-01,48,12
2017-01-02,47,26
2017-01-03,54,11
2017-01-04,26,15
2017-01-05,28,17
2017-01-06,48,20
2017-01-07,61,19
2017-01-08,52,14
2017-01-09,51,26
2017-01-10,65,30
2017-01-11,64,19
2017-01-12,45,16
2017-01-13,50,13
2017-01-14,34,17
2017-01-15,40,15
2017-01-16,56,26
2017-01-17,58,22
2017-01-18,56,17
2017-01-19,39,21
2017-01-20,58,26
2017-01-21,47,17
2017-01-22,62,13
2017-01-23,47,7
2017-01-24,26,9
2017-01-25,30,16
2017-01-26,32,18
2017-01-27,48,12
2017-01-28,29,12
2017-01-29,36,14
2017-01-30,49,20
2017-01-31,46,20
2017-02-01,48,27
2017-02-02,67,19
2017-02-03,44,20
2017-02-04,58,15
2017-02-05,51,15
2017-02-06,56,15
2017-02-07,44,14
2017-02-08,32,23
2017-02-09,58,14
2017-02-10,41,20
2017-02-11,46,26
2017-02-12,76,18
2017-02-13,48,13
2017-02-14,43,25
2017-02-15,53,31
2017-02-16,61,15
2017-02-17,49,19
2017-02-18,46,22
2017-02-19,56,18
2017-02-20,57,15
2017-02-21,40,24
2017-02-22,44,26
2017-02-23,61,23
2017-02-24,66,15
2017-02-25,46,9
2017-02-26,29,5
2017-02-27,30,17
2017-02-28,49,22
2017-03-01,60,13
2017-03-02,43,10
2017-03-03,46,15
2017-03-04,36,8
2017-03-05,51,9
2017-03-06,49,23
2017-03-07,48,24
2017-03-08,49,14
2017-03-09,41,17
