date, pm25, pm10, o3, no2, so2, co
2023/3/13, 24, 20, 27, 14, , 2
2023/3/14, 36, , 32, 7, , 1
2023/3/15, 34, , 33, 8, , 2
2023/3/16, 17, , 34, 14, , 3
2023/3/17, 23, , 40, 18, , 3
2023/3/18, 48, , 35, 11, , 4
2023/3/19, 41, , 35, 6, , 2
2023/3/20, 18, , 37, 10, , 2
2023/3/21, 26, , 39, 20, , 4
2023/3/22, 48, , 36, 13, , 3
2023/3/23, 46, , 36, 14, , 3
2023/3/24, 43, , 31, 11, , 2
2023/3/25, 26, , 30, 7, , 2
2023/3/26, 26, , 37, 18, , 3
2023/3/27, 27, , 30, 16, , 2
2023/3/28, 28, , 35, 16, , 3
2023/3/29, 33, , 32, 10, , 2
2023/3/30, 20, , 35, 14, , 3
2023/3/31, 28, , 34, 16, , 4
2022/10/1, 28, , 21, 6, , 6
2022/10/2, 21, , 21, 8, , 3
2022/10/3, 19, , 20, 5, 1, 1
2022/10/4, 23, , 19, 6, 1, 1
2022/10/5, 17, , 22, 12, 1, 2
2022/10/6, 26, , 35, 12, 1, 3
2022/10/7, 31, , 21, 5, , 2
2022/10/8, 15, , 30, 7, , 2
2022/10/9, 24, , 27, 16, , 4
2022/10/10, 37, , 27, 16, 1, 5
2022/10/11, 37, , 43, 13, , 4
2022/10/12, 43, , 36, 9, , 2
2022/10/13, 32, , 27, 9, , 2
2022/10/14, 17, , 32, 12, 1, 3
2022/10/15, 32, , 33, 13, , 3
2022/10/16, 52, , 25, 17, , 3
2022/10/17, 49, , 29, 14, , 3
2022/10/18, 37, , 20, 10, , 5
2022/10/19, 23, , 24, 12, , 5
2022/10/20, 23, , 30, 16, , 3
2022/10/21, 32, , 37, 15, , 4
2022/10/22, 41, , 29, 20, , 5
2022/10/23, 47, , 23, 14, , 2
2022/10/24, 28, , 8, 15, , 2
2022/10/25, 24, , 7, 15, , 2
2022/10/26, 20, , 24, 8, , 2
2022/10/27, 23, , 16, 13, , 2
2022/10/28, 18, , 24, 16, , 5
2022/10/29, 32, , 22, 18, , 6
2022/10/31, 39, , 27, 14, , 3
2022/11/1, 28, , 15, 12, , 4
2022/11/2, 33, , 27, 20, , 5
2022/11/3, 42, , 23, 18, , 6
2022/11/4, 41, , 30, 9, , 3
2022/11/5, 27, , 28, 6, , 2
2022/11/6, 25, , 29, 2, , 1
2022/11/7, 28, , 32, 7, , 2
2022/11/8, 22, , 26, 10, , 1
2022/11/9, 18, , 22, 13, , 2
2022/11/10, 20, , 30, 10, , 2
2022/11/11, 26, , 27, 6, , 2
2022/11/12, 23, , 25, 3, , 2
2022/11/13, 22, , 15, 7, , 2
2022/11/14, 30, , 24, 11, , 2
2022/11/15, 11, , 22, 18, , 3
2022/11/16, 21, , 22, 10, , 2
2022/11/17, 20, , 24, 9, , 2
2022/11/18, 24, , 23, 12, , 3
2022/11/19, 27, , 21, 12, , 3
2022/11/20, 45, , 25, 8, , 3
2022/11/21, 33, , 24, 12, , 2
2022/11/22, 17, , 24, 19, , 4
2022/11/23, 41, , 27, 16, , 3
2022/11/24, 54, , 25, 14, , 4
2022/11/25, 34, , 26, 11, , 3
2022/11/26, 34, , 24, 7, , 2
2022/11/27, 14, , 31, 11, , 3
2022/11/28, 28, , 23, 8, , 2
2022/11/29, 11, , 17, 13, , 2
2022/11/30, 20, , 28, 12, , 2
2022/12/1, 22, , 21, 7, , 2
2022/12/2, 17, , 20, 16, , 4
2022/12/3, 25, , 28, 9, , 3
2022/12/4, 26, , 26, 9, , 3
2022/12/5, 22, , 22, 21, , 5
2022/12/6, 36, , 22, 18, , 8
2022/12/7, 29, , 25, 10, , 3
2022/12/8, 24, , 26, 9, , 2
2022/12/9, 15, , 21, 13, , 2
2022/12/10, 17, , 22, 7, , 2
2022/12/11, 22, , 22, 7, , 2
2022/12/12, 29, , 23, 15, , 2
2022/12/13, 29, , 27, 15, , 3
2022/12/14, 24, , 25, 12, , 2
2022/12/15, 34, , 27, 11, , 2
2022/12/16, 19, , 27, 6, , 1
2022/12/17, 29, , 23, 7, , 2
2022/12/18, 12, , 17, 7, , 2
2022/12/19, 25, 8, 16, 9, , 3
2022/12/20, 21, 8, 18, 10, , 2
2022/12/21, 18, 14, 12, 22, , 5
2022/12/22, 31, 21, 28, 17, , 6
2022/12/23, 39, 18, 31, 4, , 2
2022/12/24, 39, 29, 20, 7, , 3
2022/12/25, 36, 19, 23, 9, , 3
2022/12/26, 38, 18, 24, 15, , 4
2022/12/27, 33, 23, 21, 19, , 4
2022/12/28, 42, 25, 17, 24, , 5
2022/12/29, 58, 26, 21, 25, , 5
2022/12/30, 62, 34, 28, 22, , 5
2022/12/31, 68, 13, 23, 12, , 3
2023/1/1, 46, 6, 23, 4, , 2
2023/1/2, 16, 12, 19, 17, , 5
2022/7/1, 45, , 39, 4, 1, 1
2022/7/2, 30, , 29, 5, 1, 2
2022/7/3, 29, , 25, 6, 1, 2
2022/7/4, 35, , 32, 11, 1, 2
2022/7/5, 41, , 30, 6, 1, 2
2022/7/6, 24, , 30, 9, 1, 2
2022/7/7, 29, , 38, 8, 1, 3
2022/7/8, 27, , 24, 7, 1, 2
2022/7/9, 31, , 33, 4, 1, 2
2022/7/10, 22, , 43, 7, 1, 2
2022/7/11, 30, , 41, 6, 1, 2
2022/7/12, 30, , 41, 7, 1, 1
2022/7/13, 32, , 45, 14, 1, 1
2022/7/14, 41, , 36, 9, 1, 1
2022/7/15, 32, , 39, 5, 1, 2
2022/7/16, 31, , 49, 4, 1, 3
2022/7/17, 41, , 33, 7, 1, 2
2022/7/18, 35, , 37, 5, 1, 2
2022/7/19, 30, , 51, 11, 1, 3
2022/7/20, 49, , 44, 6, 1, 3
2022/7/21, 52, , 50, 8, 1, 2
2022/7/22, 46, , 49, 7, 1, 2
2022/7/23, 45, , 64, 4, 1, 2
2022/7/24, 48, , 39, 5, 1, 2
2022/7/25, 47, , 32, 9, 1, 2
2022/7/26, 20, , 36, 13, 1, 2
2022/7/27, 23, , 45, 10, 1, 3
2022/7/28, 37, , 50, 8, 1, 2
2022/7/29, 35, , 29, 6, 1, 2
2022/7/30, 24, , 30, 5, 1, 2
2022/7/31, 22, , 43, 8, 1, 2
2022/8/1, 22, , 45, 8, 1, 3
2022/8/2, 33, , 32, 7, 1, 1
2022/8/3, 26, , 57, 9, 1, 2
2022/8/4, 38, , 43, 10, 1, 3
2022/8/5, 38, , 52, 6, 1, 3
2022/8/6, 37, , 37, 3, 1, 1
2022/8/7, 25, , 42, 5, 1, 2
2022/8/8, 28, , 38, 7, 1, 2
2022/8/9, 32, , 19, 4, 1, 1
2022/8/10, 23, , 27, 7, 1, 2
2022/8/11, 30, , 25, 9, 1, 1
2022/8/12, 24, , 20, 4, 1, 1
2022/8/13, 21, , 29, 7, 1, 3
2022/8/14, 22, , 40, 9, 1, 2
2022/8/15, 26, , 29, 7, 1, 1
2022/8/16, 25, , 24, 6, 1, 1
2022/8/17, 34, , 27, 6, 1, 2
2022/8/18, 27, , 44, 10, 1, 2
2022/8/19, 38, , 61, 10, 1, 3
2022/8/20, 50, , 40, 5, 1, 2
2022/8/21, 37, , 27, 6, 1, 1
2022/8/22, 31, , 23, 8, 1, 1
2022/8/23, 16, , 34, 15, 1, 3
2022/8/24, 24, , 41, 11, 1, 3
2022/8/25, 33, , 46, 13, 1, 3
2022/8/26, 39, , 27, 5, 1, 2
2022/8/27, 33, , 25, 2, 1, 2
2022/8/28, 25, , 40, 6, 1, 2
2022/8/29, 33, , 37, 5, 1, 2
2022/8/30, 30, , 32, 8, 1, 2
2022/8/31, 21, , 27, 8, 1, 2
2022/9/1, 23, , 26, 5, 1, 2
2022/9/2, 15, , 33, 6, 1, 3
2022/9/3, 20, , 41, 4, 1, 3
2022/9/4, 20, , 19, 8, 1, 3
2022/9/5, 21, , 19, 9, 1, 4
2022/9/6, 20, , 20, 5, 1, 2
2022/9/7, 19, , 23, 8, 1, 
2022/9/8, 19, , 24, 15, 1, 3
2022/9/9, 30, , 26, 10, 1, 3
2022/9/10, 41, , 30, 9, 1, 4
2022/9/11, 41, , 27, 11, 1, 3
2022/9/12, 20, , 27, 7, 1, 3
2022/9/13, 20, , 28, 7, 1, 2
2022/9/14, 26, , 20, 9, 1, 2
2022/9/15, 21, , 25, 10, 1, 2
2022/9/16, 15, , 26, 5, 1, 3
2022/9/17, 18, , 44, 4, 1, 3
2022/9/18, 36, , 21, 8, 1, 3
2022/9/19, 35, , 16, 7, 1, 54
2022/9/20, 19, , 20, 9, 1, 49
2022/9/21, 21, , 27, 10, 1, 3
2022/9/22, 23, , 20, 6, , 1
2022/9/23, 9, , 22, 7, , 2
2022/9/24, 15, , 32, 6, , 3
2022/9/25, 25, , 32, 7, 1, 3
2022/9/26, 25, , 32, 10, , 3
2022/9/27, 25, , 20, 8, , 2
2022/9/28, 17, , 16, 8, 1, 3
2022/9/29, 20, , 19, 10, , 4
2022/9/30, 23, , 18, 14, 1, 5
2022/4/1, 21, , 32, 8, , 3
2022/4/2, 14, , 34, 12, 1, 3
2022/4/3, 27, , 31, 11, , 2
2022/4/4, 20, , 32, 15, 1, 3
2022/4/5, 22, , 28, 12, , 2
2022/4/6, 29, , 33, 11, , 1
2022/4/7, 35, , 30, 12, 1, 3
2022/4/8, 23, , 33, 12, 1, 3
2022/4/9, 28, , 25, 7, , 2
2022/4/10, 15, , 30, 9, , 2
2022/4/11, 12, , 31, 14, 1, 3
2022/4/12, 26, , 39, 16, 1, 3
2022/4/13, 26, , 32, 8, , 2
2022/4/14, 32, , 40, 12, 1, 3
2022/4/15, 23, , 41, 5, 1, 2
2022/4/16, 24, , 26, 6, , 2
2022/4/17, 11, , 25, 6, 1, 1
2022/4/18, 15, , 27, 4, 1, 2
2022/4/19, 24, , 31, 7, , 2
2022/4/20, 13, , 39, 7, , 2
2022/4/21, 20, , 37, 9, , 2
2022/4/22, 19, , 40, 13, 1, 2
2022/4/23, 21, , 37, 5, , 1
2022/4/24, 20, , 33, 12, 1, 2
2022/4/25, 28, , 29, 12, 1, 3
2022/4/26, 30, , 27, 9, , 2
2022/4/27, 18, , 36, 7, , 2
2022/4/28, 13, , 36, 9, , 2
2022/4/29, 16, , 34, 8, , 2
2022/4/30, 18, , 39, 9, 1, 3
2022/5/1, 24, , 28, 8, 1, 2
2022/5/2, 28, , 25, 6, 1, 1
2022/5/3, 17, , 18, 13, 1, 2
2022/5/4, 29, , 39, 12, 1, 2
2022/5/5, 22, , 37, 12, 1, 2
2022/5/6, 26, , 36, 3, 1, 1
2022/5/7, 31, , 37, 3, 1, 1
2022/5/8, 23, , 42, 5, , 1
2022/5/9, 29, , 41, 6, 1, 1
2022/5/10, 31, , 35, 7, 1, 1
2022/5/11, 36, , 26, 12, 1, 1
2022/5/12, 21, , 19, 11, 1, 1
2022/5/13, 32, , 30, 3, , 2
2022/5/14, 20, , 34, 2, , 1
2022/5/15, 16, , 36, 5, 1, 1
2022/5/16, 29, , 36, 4, 1, 1
2022/5/17, 20, , 42, 10, 1, 2
2022/5/18, 25, , 33, 14, 1, 2
2022/5/19, 27, , 38, 8, 1, 1
2022/5/20, 30, , 29, 20, 1, 2
2022/5/21, 46, , 40, 7, 1, 2
2022/5/22, 52, , 27, 6, 1, 1
2022/5/23, 19, , 23, 3, 1, 1
2022/5/24, 19, , 26, 6, 1, 1
2022/5/25, 19, , 33, 7, 1, 2
2022/5/26, 20, , 25, 4, 1, 2
2022/5/27, 25, , 23, 3, 1, 2
2022/5/28, 22, , 31, 4, 1, 1
2022/5/29, 20, , 54, 4, 1, 2
2022/5/30, 35, , 35, 5, 1, 1
2022/5/31, 36, , 16, 7, 1, 1
2022/6/1, 22, , 18, 8, 1, 1
2022/6/2, 21, , 22, 8, 1, 
2022/6/3, 22, , 28, 4, 1, 1
2022/6/4, 23, , 31, 5, 1, 2
2022/6/5, 15, , 42, 12, 1, 2
2022/6/6, 26, , 40, 7, 1, 2
2022/6/7, 22, , 36, 8, 14, 2
2022/6/8, 23, , 35, 12, 1, 2
2022/6/9, 30, , 31, 7, 1, 2
2022/6/10, 20, , 34, 6, 1, 2
2022/6/11, 21, , 44, 3, 1, 2
2022/6/12, 33, , 37, 9, 1, 2
2022/6/13, 28, , 29, 9, 1, 1
2022/6/14, 24, , 28, 5, 1, 1
2022/6/15, 17, , 28, 7, 1, 2
2022/6/16, 23, , 37, 6, 1, 2
2022/6/17, 31, , 30, 2, 1, 1
2022/6/18, 12, , 21, 4, 1, 1
2022/6/19, 20, , 29, 8, 1, 2
2022/6/20, 24, , 31, 9, 1, 1
2022/6/21, 26, , 22, 3, 1, 
2022/6/22, 26, , 26, 7, 1, 1
2022/6/23, 30, , 41, 11, 1, 2
2022/6/24, 31, , 36, 8, 1, 3
2022/6/25, 40, , 53, 5, 1, 3
2022/6/26, 53, , 29, 6, 1, 1
2022/6/27, 25, , 36, 9, 1, 1
2022/6/28, 24, , 39, 11, 1, 2
2022/6/29, 26, , 32, 10, 1, 2
2022/6/30, 26, , 58, 9, 1, 2
2022/1/4, 18, , 22, 16, 1, 3
2022/1/5, 22, , 16, 18, 1, 4
2022/1/6, 31, , 19, 13, 1, 4
2022/1/7, 48, , 21, 14, 1, 3
